1_АварияФ1@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C2C,,
1_АварияФ2@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C2D,,
1_АварияФ3@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C2E,,
1_АварияФ4@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C2F,,
1_АварНЦ1@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C53,,
1_АварНЦ2@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C54,,
1_АварияНц5@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C39,,
1_АварияНЦ6@Авария,KONTAR Ethernet,XRAM_BOOL,1#0C3A,,
1_ОткрК8@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E3A,,
1_ОткрК9@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E3B,,
1_ЗакрК1@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C13,,
1_ЗакрК3@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C5F,,
1_ЗакрК2@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C5D,,
1_ОткрК10@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E45,,
1_ЗакрК4@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0D8B,,
1_ОткрК11@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E4E,,
1_ЗакрК6@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E51,,
1_ОткрК1@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C12,,
1_ОткрК3@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C5E,,
1_ОткрК5@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0D8C,,
1_ОткрК7@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E57,,
1_ЗакрК5@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0D8D,,
1_ОткрК2@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0C5C,,
1_ЗакрК7@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E58,,
1_ОткрК4@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0D8A,,
1_ОткрК6@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E59,,
1_ЗакрК8@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5A,,
1_ЗакрК9@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5B,,
1_ЗакрК10@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5C,,
1_ОткрК12@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5D,,
1_ЗакрК11@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5E,,
1_ОткрК13@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E5F,,
1_ЗакрК13@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E60,,
1_ЗакрК12@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E61,,
1_ОткК14@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E65,,
1_ЗакрК14@Задвижки,KONTAR Ethernet,XRAM_BOOL,1#0E66,,
1_АварНЦ1@Alarms,KONTAR Ethernet,XRAM_BOOL,1#0C53,,
1_АварНЦ2@Alarms,KONTAR Ethernet,XRAM_BOOL,1#0C54,,
